sampleID,BearID,Year,BearYear,sex,birth,age,Repro,C13,N15,mass,headcirc,cortkit,cortisol,x,y
850,W0805,2009,W0805_2009,M,2002,8,SolitaryM,-22.95,6.07,NA,81,2,11.22,1455229.359,6798731.966
642,W0805,2011,W0805_2011,M,2002,10,SolitaryM,-22.95,6.55,207,78,2,5.65,1461842.357,6801943.218
788,W9403,2009,W9403_2009,F,1993,17,WithCubs,-22.95,4.52,87,57,2,7.72,1451904.859,6817371.885
963,W0605,2013,W0605_2013,F,2005,9,WithCubs,-22.96,4.51,89,58,2,11.79,1435320.87,6794524.724
1163,W1707,2020,W1707_2020,F,2015,5,SolitaryF,-22.96,4.48,67.6,56,2,4.82,1453502.646,6825648.056
724,W0720,2014,W0720_2014,F,2000,15,WithCubs,-22.97,4.48,76.6,59,2,13,1457994.214,6827342.176
605,W1017,2012,W1017_2012,F,2009,4,SolitaryF,-22.97,4.73,64,55,2,4.93,1446350.605,6837172.204
726,W9301,2008,W9301_2008,M,1989,20,SolitaryM,-22.97,4.82,186,79,2,10.6,1440128.282,6817904.022
1036,W0720,2017,W0720_2017,F,2000,18,WithCubs,-22.99,4.26,87.4,63,2,6.68,1457975.956,6827268.087
645,W0812,2011,W0812_2011,M,2007,5,SolitaryM,-22.99,5.42,93,60,2,3.98,1459789.433,6802261.926
568,W0716,2015,W0716_2015,F,2001,15,SolitaryF,-23,4.09,117.8,62,2,6.09,1474193.948,6810701.439
1090,W1304,2019,W1304_2019,F,2012,8,WithCubs,-23,4.01,66,53,2,7.17,1450289.147,6813764.757
801,W0610,2009,W0610_2009,F,2005,5,SolitaryF,-23.01,4.31,47,50,2,5.52,1468340.288,6817408.313
800,W0611,2009,W0611_2009,F,2005,5,SolitaryF,-23.02,4.24,48,50.5,2,5.19,1463002.806,6813665.687
946,W1110,2013,W1110_2013,F,2010,4,SolitaryF,-23.03,4.28,57.5,51,2,6.74,1424302.271,6846665.284
992,W1304,2016,W1304_2016,F,2012,5,SolitaryF,-23.03,4.32,60.6,51,2,4.35,1452129.553,6814107.844
1096,W1502,2019,W1502_2019,F,2014,5,SolitaryF,-23.03,5.94,NA,57,2,10.42,1402673.538,6816858.938
791,W0013,2009,W0013_2009,M,1995,15,SolitaryM,-23.04,5.76,188,76,2,5.05,1362040.803,6807427.983
673,W0625,2010,W0625_2010,M,2003,8,SolitaryM,-23.04,5.71,121,70,2,6.96,1469577.146,6838683.641
1089,W1205,2019,W1205_2019,F,2011,9,WithCubs,-23.04,5.3,100,59,2,10.88,1492859.376,6808920.243
690,W0824,2010,W0824_2010,M,2007,4,SolitaryM,-23.05,4.82,74,58,2,5.05,1515616.091,6781270.371
771,W0827,2008,W0827_2008,M,2004,5,SolitaryM,-23.05,5.14,129,68,2,7.76,1437222.901,6793030.817
1002,W0605,2016,W0605_2016,F,2005,12,WithCubs,-23.06,4.23,86,60,2,5.94,1436220.377,6794200.526
590,W0610,2012,W0610_2012,F,2005,8,SolitaryF,-23.06,4.49,75,54,2,9.85,1469101.397,6816210.975
1166,W1319,2020,W1319_2020,F,2009,12,WithCubs,-23.06,4.3,80,57,2,7.51,1437029.971,6817210.592
734,W0101,2008,W0101_2008,M,1998,11,SolitaryM,-23.07,5,209,77,2,7.84,1422138.608,6851792.202
969,W1404,2016,W1404_2016,M,2012,4,SolitaryM,-23.07,4.61,58,54,2,8.62,1504035.211,6830922.385
1160,W1806,2020,W1806_2020,F,2016,4,SolitaryF,-23.07,4.22,60,50,2,9.83,1429595.02,6817928.137
680,W0719,2010,W0719_2010,M,2002,9,SolitaryM,-23.08,5.53,152,67,2,8.1,1456498.381,6851293.285
758,W0805,2008,W0805_2008,M,2002,7,SolitaryM,-23.08,5.91,197,78,2,10,1458856.403,6800341.899
695,W1001,2010,W1001_2010,M,2000,11,SolitaryM,-23.08,6.32,153,70,2,9.24,1480918.822,6826333.339
722,W1110,2014,W1110_2014,F,2010,5,SolitaryF,-23.08,4.67,62.2,52.5,2,4.7,1425440.325,6846819.526
945,W1203,2013,W1203_2013,F,2008,6,SolitaryF,-23.08,4.2,67,59,2,7.81,1430454.974,6822029.856
1054,W1509,2018,W1509_2018,F,2014,4,SolitaryF,-23.08,4.54,72,56,2,6.46,1459201.953,6814686.182
755,W0718,2008,W0718_2008,M,2000,9,SolitaryM,-23.09,5.4,192,76,2,9.15,1425737.162,6808983.19
954,W0806,2013,W0806_2013,F,2007,7,SolitaryF,-23.09,4.16,75,56.5,2,4.42,1452671.547,6794896.711
651,W0910,2011,W0910_2011,M,2008,4,SolitaryM,-23.09,5.07,100,58,2,4.71,1459069.008,6784002.147
572,W1305,2015,W1305_2015,F,2012,4,SolitaryF,-23.09,4.83,72,55,2,6.98,1451540.083,6804688.472
1042,W9403,2017,W9403_2017,F,1993,25,WithCubs,-23.09,4.3,108.4,64,2,4.46,1453172.294,6810773.098
583,W9403,2012,W9403_2012,F,1993,20,WithCubs,-23.1,5.18,93,62.5,2,5.69,1451182.605,6814097.49
1167,W1203,2020,W1203_2020,F,2008,13,WithCubs,-23.12,4.17,113,59,2,49.5,1427687.295,6825931.322
965,W0425,2013,W0425_2013,F,2000,14,SolitaryF,-23.13,4.48,99,60,2,7.01,1460325.285,6812604.488
588,W0605,2012,W0605_2012,F,2005,8,WithCubs,-23.13,4.63,72,57,2,8.18,1435494.001,6792542.976
591,W0620,2012,W0620_2012,F,2005,8,SolitaryF,-23.13,4.89,86,62,2,31.33,1444236.299,6792588.48
757,W0802,2008,W0802_2008,M,2003,6,SolitaryM,-23.13,5.27,128,67,2,10.39,1449157.782,6828984.255
966,W0217,2013,W0217_2013,F,2001,13,WithCubs,-23.14,4.55,82.5,59,2,7.47,1453451.212,6805502.029
961,W0620,2013,W0620_2013,F,2005,9,WithCubs,-23.14,4.72,94,59,2,8.37,1444188.547,6792252.346
641,W0719,2011,W0719_2011,M,2002,10,SolitaryM,-23.14,5.82,143,66,2,6.33,1455169.562,6854072.975
1070,W1311,2018,W1311_2018,F,2012,7,WithCubs,-23.15,5.15,71.6,59,2,9.39,1331866.576,6783874.924
1082,W1304,2018,W1304_2018,F,2012,7,SolitaryF,-23.15333333,4.603333333,70.6,56.5,2,8,1447770.136,6814588.837
1168,W0605,2020,W0605_2020,F,2005,16,SolitaryF,-23.16,5.36,104,60.5,2,7.98,1437215.128,6794268.647
996,W0716,2016,W0716_2016,F,2001,16,SolitaryF,-23.16,4.36,123,63,2,4.55,1472403.368,6811703.656
953,W0818,2013,W0818_2013,F,2007,7,SolitaryF,-23.16,4.13,75,58,2,6.23,1435511.439,6836647.535
804,W0625,2009,W0625_2009,M,2003,7,SolitaryM,-23.17,5.41,130,69,2,3.76,1466350.553,6838621.501
846,W0718,2009,W0718_2009,M,2000,10,SolitaryM,-23.17,5.95,180,72,2,10.12,1434319.51,6815580.26
698,W1019,2010,W1019_2010,M,2004,7,SolitaryM,-23.18,5.9,206,79,2,7.21,1427630.643,6725295.667
948,W1017,2013,W1017_2013,F,2009,5,SolitaryF,-23.19,4.61,75,55,2,8.19,1444354.649,6838437.484
847,W0719,2009,W0719_2009,M,2002,8,SolitaryM,-23.2,5.67,142,63,2,3.99,1457280.274,6841921.549
1103,W1708,2019,W1708_2019,F,2015,4,SolitaryF,-23.2,4.51,75,56,2,5.18,1459850.183,6831866.396
648,W0825,2011,W0825_2011,F,2007,5,SolitaryF,-23.21,4.11,49.5,51,2,6.06,1465213.783,6819455.796
857,W0827,2009,W0827_2009,M,2004,6,SolitaryM,-23.21,5.8,NA,68,2,4.1,1437921.834,6793664.966
721,W0620,2014,W0620_2014,F,2005,10,WithCubs,-23.22,4.85,106.5,63,2,11.6,1441764.049,6793150.6
911,W1312,2013,W1312_2013,M,2008,6,SolitaryM,-23.22,6.17,98,60,2,5.72,1430527.351,6812913.026
803,W0622,2009,W0622_2009,F,2005,5,SolitaryF,-23.23,3.95,98,63,2,4.67,1348239.742,6809221.092
959,W0625,2013,W0625_2013,M,2003,11,SolitaryM,-23.23,5.48,203,75,2,13.43,1471539.335,6822893.309
994,W1401,2016,W1401_2016,M,2012,4,SolitaryM,-23.24,3.95,58.5,52,2,9.96,1475353.605,6817004.588
570,W1209,2015,W1209_2015,F,2011,5,SolitaryF,-23.25,4.56,55,52,2,8.57,1480388.195,6810652.351
