"ID_Year","x","y","count"
"172","W0719 2011",1455169.56241395,6854072.9745296,4358
"173","W0719 2012",1449698.15909091,6846805.80535191,2728
"174","W0719 2013",1449944.01632245,6835181.72951366,3002
"175","W0719 2014",1452391.18224499,6826548.68843363,2343
"176","W0720 2007",1456912.25565388,6826496.00639135,2034
"177","W0720 2008",1455945.04572565,6826207.98097131,3521
"178","W0720 2010",1457461.2587497,6825361.15206372,4143
"179","W0720 2011",1456851.50482859,6827041.53186866,4142
"180","W0720 2012",1454939.99973836,6828353.08398744,3822
"181","W0720 2014",1457994.21376355,6827342.17569952,3967
"182","W0720 2015",1455276.00966921,6828939.27201018,3930
"183","W0720 2017",1457975.95564156,6827268.08663293,3359
"184","W0720 2018",1455974.88156382,6828437.10272135,2609
"185","W0802 2008",1449157.78165785,6828984.25502646,2835
"186","W0802 2009",1450766.15698267,6844312.86204553,2943
"187","W0802 2010",1448374.9114011,6839075.72893773,4368
"188","W0802 2011",1446118.50212627,6832031.67255479,3057
"189","W0803 2008",1483579.47813163,6826984.24840764,2355
"190","W0804 2008",1399200.45454545,6806328.09090909,11
"191","W0805 2008",1458856.40312335,6800341.89862361,3778
"192","W0805 2009",1455229.35860058,6798731.9664723,686
"193","W0805 2010",1460809.29142714,6803258.94151462,4001
"194","W0805 2011",1461842.35694957,6801943.21795818,4065
"195","W0805 2012",1464166.85832187,6814646.45749656,3635
"196","W0805 2013",1457908.5046875,6807746.59583333,1920
"197","W0806 2010",1454836.53475936,6794467.83880825,1309
"198","W0806 2011",1454572.27121068,6794038.38298379,4196
"199","W0806 2012",1452755.42814446,6795815.76936488,4015
"200","W0806 2013",1452671.5469223,6794896.71140262,2973
"201","W0806 2014",1452285.77666068,6795024.43159785,2785
"202","W0810 2010",1481386.46642655,6773411.67507075,3887
"203","W0810 2011",1486381.92251991,6773727.40079652,2762
"204","W0811 2010",1451951.74334505,6794745.43018584,3982
"205","W0811 2011",1466963.95373752,6790363.67689311,4107
"206","W0811 2012",1471135.30194894,6789630.85177052,3643
"207","W0811 2013",1470162.83023395,6789161.61667666,1667
"208","W0812 2010",1454332.51824645,6799657.28981043,4220
"209","W0812 2011",1459789.43294461,6802261.92565598,3430
"210","W0812 2012",1461622.47627244,6807043.59552496,4067
"211","W0812 2013",1462373.15479399,6811794.59145167,2597
"212","W0818 2010",1433003.95401338,6836764.09587514,3588
"213","W0818 2011",1433088.00916497,6836308.73243381,3928
"214","W0818 2012",1434811.0047205,6835089.60099379,4025
"215","W0818 2013",1435511.43876567,6836647.53471553,4148
"216","W0818 2014",1433773.79214862,6834521.81317911,2853
"217","W0818 2016",1439058.30769231,6834305.70512821,3198
"218","W0818 2017",1437945.7295082,6832831.3442623,122
"219","W0819 2010",1434282.22788656,6829310.55300473,2962
"220","W0820 2010",1436148.39882854,6832539.62247071,3756
"221","W0820 2011",1437499.79454076,6834740.00442641,2711
"222","W0820 2012",1444913.35410976,6826085.96597964,4027
"223","W0824 2010",1515616.09094982,6781270.37096774,2232
"224","W0824 2011",1535765.7727885,6779798.4440952,2227
"225","W0825 2010",1463431.67823899,6818233.76251572,3975
"226","W0825 2011",1465213.78316583,6819455.79572864,3980
"227","W0825 2012",1465369.28395062,6821342.65151515,3564
"228","W0825 2013",1464516.40844627,6824749.98266625,3173
"229","W0825 2014",1464441.99835886,6823486.91520788,3656
"230","W0826 2008",1422076.43843667,6816292.05377608,3403
"231","W0826 2009",1421501.40037175,6816306.23011152,2690
"232","W0826 2010",1424634.37414622,6815243.67821907,3953
"233","W0827 2008",1437222.90083333,6793030.81708333,2400
"234","W0827 2009",1437921.83408341,6793664.96609661,3333
"235","W0827 2010",1435716.23629679,6800349.47426471,2992
"236","W0901 2011",1547612.23421775,6826890.79200976,3279
"237","W0902 2011",1563720.54298643,6810983.73303167,221
"238","W0903 2011",1439582.94437027,6733520.11036938,2247
"239","W0904 2011",1430371.90414576,6797971.0797465,3787
"240","W0904 2012",1432361.24147818,6798195.90506531,3139
"241","W0908 2011",1460264.09608031,6798409.52676864,4184
"242","W0908 2012",1506597.91767677,6718278.71792929,3960
"243","W0908 2013",1519343.96078892,6708771.18290679,4259
"244","W0908 2014",1519075.2020202,6706291.07070707,99
"245","W0910 2011",1459069.00845002,6784002.14678899,4142
"246","W0910 2012",1457340.71612718,6778016.75164709,3491
"247","W0910 2013",1455156.9220104,6774353.25476603,577
"248","W0910 2014",1457597.55370146,6775872.80916262,3296
"249","W0910 2015",1459961.8982052,6775357.50709885,3733
"250","W0910 2016",1462008.14791336,6773464.73798204,1893
"251","W0915 2009",1448443.27578125,6811324.62109375,2560
"252","W0916 2009",1451609.01835595,6801424.61013567,2506
"253","W0917 2009",1468671.69156626,6828649.59827883,2905
"254","W1001 2010",1480918.8218273,6826333.33948508,4389
"255","W1001 2011",1481768.4063483,6826843.077495,3497
"256","W1010 2012",1422472.41153846,6804578.16230769,1300
"257","W1011 2012",1425020.9317968,6809160.97671684,4252
"258","W1011 2013",1425198.58003818,6809106.88137442,3667
"259","W1011 2014",1429150.73346039,6812509.14347945,3673
"260","W1011 2015",1431606.35855709,6811818.8283157,3687
"261","W1011 2017",1426379.82885572,6813246.84875622,4020
"262","W1011 2019",1429755.81330275,6811683.46100917,2180
"263","W1017 2012",1446350.60451566,6837172.20356883,2746
"264","W1017 2013",1444354.64862205,6838437.48375984,4064
"265","W1017 2014",1445701.39727463,6835536.67819707,954
"266","W1017 2016",1446143.14091351,6836418.79105928,3087
"267","W1017 2017",1446914.9251079,6832805.07590759,3939
"268","W1017 2018",1444880.17577706,6835161.82600929,2799
"269","W1018 2010",1479394.19215686,6810886.29764706,2550
"270","W1019 2010",1427630.64310646,6725295.66695753,3438
"271","W1019 2011",1454354.40274251,6794242.61046216,3938
"272","W1019 2012",1450201.458142,6786464.28929707,2831
"273","W1020 2010",1490095.16734104,6814484.42109827,3460
"274","W1020 2011",1494009.52804822,6817079.58669448,4314
"275","W1104 2013",1444802.57763975,6813156.26242236,1932
"276","W1105 2013",1442283.51390773,6815487.25373134,2948
"277","W1105 2014",1442657.06300268,6813564.91823056,3730
"278","W1105 2015",1441690.56928839,6812313.17153558,2670
"279","W1110 2013",1424302.27128568,6846665.28372774,4099
"280","W1110 2014",1425440.32469369,6846819.52615457,4244
"281","W1110 2015",1429160.67391304,6846828.59104859,3910
"282","W1110 2016",1430676.62363456,6845941.55089374,4028
"283","W1110 2017",1431537.87881926,6844350.26696012,3862
"284","W1201 2012",1455730.65092166,6853926.03110599,1736
"285","W1202 2013",1453964.95168762,6822240.03573792,1511
"286","W1203 2012",1432091.91272929,6822613.00027793,3598
"287","W1203 2013",1430454.97449275,6822029.85565217,3450
"288","W1203 2014",1432415.24676259,6821289.26043165,2780
"289","W1203 2016",1430258.72753988,6822703.84928631,2382
"290","W1203 2018",1428856.87327257,6823887.02117024,3401
"291","W1203 2019",1431591.95705802,6823757.95248972,2189
"292","W1203 2020",1427687.29459902,6825931.32242226,2444
"293","W1203 2021",1429128.72861842,6827137.30509868,3648
"294","W1203 2022",1428672.97766448,6826160.10900704,4119
"295","W1204 2014",1481578.63430799,6816917.25419103,2565
"296","W1204 2015",1483245.73302008,6810580.71636053,2341
"297","W1204 2016",1509310.40747565,6794361.10344828,3799
"298","W1204 2017",1513957.33684927,6795211.65838721,2939
"299","W1205 2014",1491816.37018349,6807974.28944954,2180
"300","W1205 2015",1491223.81716637,6807898.92092887,3402
"301","W1205 2017",1491177.29222457,6808742.81207423,4257
"302","W1205 2019",1492859.37553343,6808920.24324324,703
"303","W1205 2020",1493773.77895753,6808653.94305019,1036
"304","W1206 2014",1493814.41909601,6809696.98555764,3739
"305","W1206 2015",1503948.58539018,6811668.54624782,4011
"306","W1206 2016",1501962.94822422,6814086.99015832,2337
"307","W1208 2012",1456748.02512156,6886423.27795786,1234
"308","W1209 2014",1480211.34755264,6810833.09242549,3657
"309","W1209 2015",1480388.19470468,6810652.35071283,2455
"310","W1209 2016",1479903.35396518,6812719.13636364,1034
"311","W1209 2018",1479706.72736787,6812268.77812664,1911
"312","W1209 2019",1479703.24449965,6810940.78921221,2818
"313","W1210 2012",1456028.92244594,6790166.6901566,2682
"314","W1210 2013",1457663.08414239,6791637.04854369,309
"315","W1210 2014",1454516.23035952,6794715.12716378,1502
"316","W1211 2012",1477809.75047438,6836592.01043643,2108
"317","W1211 2013",1469159.79088405,6833922.10969196,3993
"318","W1211 2014",1470363.73498434,6831388.27412468,3513
"319","W1211 2015",1473126.03815416,6827822.44985821,3879
"320","W1211 2016",1445678.64272212,6801843.39571519,1587
"321","W1304 2015",1452878.79447146,6814932.68927566,3907
"322","W1304 2016",1452129.55287671,6814107.84383562,3650
"323","W1304 2017",1452015.57294367,6813955.26325713,4243
"324","W1304 2018",1447770.13586577,6814588.83686786,4291
"325","W1304 2019",1450289.14701493,6813764.75746269,1340
"326","W1304 2020",1449156.37505938,6813234.89216152,4210
"327","W1304 2021",1449635.81801213,6813747.50956603,4286
"328","W1304 2022",1450088.60197198,6814063.11779969,1927
"329","W1305 2015",1451540.08281573,6804688.47153209,1932
"330","W1305 2016",1449877.1763187,6801942.82220583,2711
"331","W1307 2015",1520163.03487332,6760486.48405365,3355
"332","W1310 2018",1320764.40740741,6799242.92592593,27
"333","W1310 2019",1322957.23830735,6795290.26503341,449
"334","W1310 2020",1319228.03128371,6804307.2289644,3708
"335","W1311 2018",1331866.57575758,6783874.92424242,132
"336","W1311 2019",1329434.59375,6777445.79166667,96
"337","W1311 2020",1332307.55170561,6777223.87241472,3723
"338","W1312 2013",1430527.3510929,6812913.02550091,2196
"339","W1312 2014",1432010.05848624,6813110.69992355,2616
"340","W1313 2013",1456484.63614458,6817149.2,1245
"341","W1314 2013",1483624.33041575,6814108.74773367,3199
"342","W1314 2014",1488675.67045455,6810717.21448864,2816
"343","W1314 2015",1479111.57034221,6805148.63606736,1841
"344","W1316 2015",1460802.83219301,6774661.09794743,2777
"345","W1317 2015",1447293.31012811,6765157.63427605,4137
"346","W1317 2016",1455986.86024845,6787923.81055901,322
"347","W1319 2013",1434210.36432066,6819994.89612345,2657
"348","W1319 2016",1435983.42320723,6815311.89215133,3542
"349","W1319 2018",1435723.145,6817847.53866667,3000
"350","W1319 2019",1434979.79707701,6817305.50028106,1779
"351","W1319 2020",1437029.97146152,6817210.59210147,3469
"352","W1319 2021",1434831.23687943,6821026.38628842,2115
"353","W1320 2013",1437590.2195122,6797764.51219512,1927
"354","W1401 2016",1475353.60512129,6817004.58760108,2226
"355","W1401 2017",1474759.14218009,6816108.90521327,211
"356","W1404 2016",1504035.21092233,6830922.38470874,4120
"357","W1404 2017",1471740.97247706,6816950.74311927,109
"358","W1407 2016",1444630.23205055,6792271.62033314,1741
"359","W1408 2016",1423744.92861021,6784795.34364821,3684
"360","W1408 2017",1423239.42877226,6782225.66354264,4268
"361","W1502 2019",1402673.53809524,6816858.93809524,210
"362","W1502 2020",1402676.79468772,6819770.56999282,2786
"363","W1509 2017",1461106.66751012,6811485.74645749,1976
"364","W1509 2018",1459201.95348837,6814686.18200202,989
"365","W1509 2019",1458556.58974359,6812068.8997669,429
"366","W1509 2021",1461003.14853195,6813042.80440415,2316
"367","W1512 2017",1450608.10762689,6804835.19505714,3763
"368","W1512 2018",1448861.79273559,6803061.9004318,3937
"369","W1512 2019",1450006.89857502,6804470.58214585,2386
"370","W1513 2015",1428684.43427355,6800483.6583289,1879
"371","W1604 2018",1441797.53669725,6794518.55166586,4142
"372","W1604 2019",1441203.92175274,6799836.38888889,1278
"373","W1608 2018",1432666.87233468,6817781.48502024,3705
"374","W1608 2019",1432140.0519263,6820420.09045226,597
"375","W1609 2020",1394314.05887446,6805163.94112554,2310
"376","W1614 2020",1353244.23194748,6835226.39970824,1371
"377","W1701 2019",1504052.78215078,6810116.64190687,3608
"378","W1701 2020",1508592.06602871,6810919.43779904,4180
"379","W1701 2021",1507751.02902622,6814384.56577715,4272
"380","W1701 2022",1508095.7702219,6812073.21009306,2794
"381","W1702 2019",1453672.21288136,6806850.74101695,1475
"382","W1702 2020",1453510.2037325,6806336.51373769,1929
"383","W1702 2021",1453399.75837563,6806502.07385787,3940
"384","W1704 2019",1473494.10716872,6841297.64337437,2762
"385","W1704 2020",1473496.91433447,6839744.81638225,2930
"386","W1707 2019",1454449.64587026,6826152.39064162,2821
"387","W1707 2020",1453502.64619165,6825648.05569206,1221
"388","W1707 2021",1454283.19529837,6821879.092827,1659
"389","W1707 2022",1449922.11174028,6824753.10494526,2649
"390","W1708 2019",1459850.18266833,6831866.39619701,3208
"391","W1708 2020",1459155.07901057,6832911.18948127,4164
"392","W1708 2021",1459136.02571042,6832172.59539919,2956
"393","W1709 2019",1496474.11552347,6814010.90285527,3047
"394","W1709 2020",1493825.00072499,6814857.26051232,4138
"395","W1709 2021",1495339.32033639,6813741.82568807,1308
"396","W1709 2022",1494907.233972,6813446.18312454,2714
"397","W1803 2020",1481334.58179059,6806568.23490137,3295
"398","W1803 2021",1480607.91427866,6809510.9152668,4048
"399","W1803 2022",1480567.31443299,6809720.36316776,4268
"400","W1806 2020",1429595.01972789,6817928.13741497,1470
"401","W1806 2021",1430223.53989899,6814297.07323232,3960
"402","W1813 2020",1423961.24450031,6811135.01759899,1591
"403","W1813 2021",1424459.84773663,6812565.09053498,243
"404","W1813 2022",1423728.05939146,6810093.42919836,3418
"405","W1815 2020",1448718.52911264,6835163.12407831,3933
"406","W1815 2021",1447139.59170306,6834414.09606987,916
"407","W1815 2022",1447218.23449163,6832538.50553411,3885
"408","W1819 2020",1371571.65619291,6829901.09097552,2737
"409","W1819 2021",1366998.47359307,6833928.95584416,3465
"410","W1819 2022",1367866.19945355,6833876.45355191,732
"411","W1824 2018",1462963.32840419,6825525.7030191,1623
"412","W1909 2021",1428300.42797245,6810337.17909554,3339
"413","W1909 2022",1428821.88894266,6810693.07137672,4133
"414","W1911 2021",1494006.11744777,6808872.16996047,1771
"415","W2003 2020",1457729.93214547,6818720.14742494,4097
"416","W2003 2022",1452730.13171283,6817968.36743923,1769
"417","W2012 2022",1427488.72735894,6821895.87553343,4218
"418","W2014 2022",1439564.91927512,6818020.87479407,1214
"419","W2016 2020",1430034.86678777,6802952.96033909,3303
"420","W2016 2022",1429211.30692308,6803001.43025641,3900
"421","W2019 2020",1473875.01050119,6819965.35513126,2095
"422","W2019 2021",1472387.43381354,6821785.80239195,3679
"423","W2019 2022",1473601.94793875,6821213.57008245,4245
"424","W2025 2022",1419716.38618746,6792868.48062016,1419
"425","W2102 2021",1472187.29886914,6829414.43780291,619
"426","W2103 2021",1474949.98453486,6844825.41898644,4203
"427","W2103 2022",1476499.53981107,6845826.64462438,2223
"428","W2104 2021",1487782.0920384,6748059.91360813,1771
"429","W2105 2021",1469875.38911644,6861706.98361615,1709
"430","W2106 2021",1468828.56932922,6842151.09030576,4219
"431","W2108 2021",1465635.00140746,6801578.69317382,2842
"432","W2113 2021",1418181.79306777,6831534.26952923,3866
"433","W2120 2021",1423196.99331352,6817290.24219911,2692
"434","W2120 2022",1423497.96580222,6819394.08805928,3509
"435","W9101 2008",1444442.28903033,6818607.21939349,2671
"436","W9301 2008",1440128.28245951,6817904.02195992,3643
"437","W9301 2009",1448178.24809052,6822678.91117397,3535
"438","W9301 2010",1452179.12154696,6821471.35229119,3077
"439","W9403 2006",1450096.42101313,6817760.58574109,2665
"440","W9403 2007",1451741.11587206,6816745.17833434,3314
"441","W9403 2009",1451904.85939553,6817371.88541393,3805
"442","W9403 2010",1451704.36511858,6814134.76358696,4048
"443","W9403 2012",1451182.60462934,6814097.48952143,3197
"444","W9403 2013",1451242.92913199,6814063.69512485,4205
"445","W9403 2015",1450272.55358275,6811359.71401395,3154
"446","W9403 2017",1453172.29431027,6810773.09823987,2443
"447","W9403 2018",1451386.31232295,6807138.51239377,2824
"448","W9615 2009",1438135.79985082,6814725.24241671,4022
"449","W9615 2011",1439499.74731544,6815446.49127517,2980
"450","W9806 2007",1450038.64348678,6827559.02056807,3063
"451","W9903 2016",1366263.44230769,6825242.41346154,208
"452","W9903 2020",1366512.44527363,6827941.06467662,402
"453","W9914 2006",1362795.23076923,6805701.38461538,39
"454","W9914 2015",1362429.66197183,6800035.04225352,142
